QID,Label,MediaWiki_Page_Title,P5_URL
Q14,Summary for Policymakers,IPCC:AR6/SR15/SPM,http://localhost:8080/wiki/IPCC:AR6/SR15/SPM
Q17,Technical Summary,IPCC:AR6/SR15/TS,http://localhost:8080/wiki/IPCC:AR6/SR15/TS
Q21,Framing and Context,IPCC:AR6/SR15/Chapter-1,http://localhost:8080/wiki/IPCC:AR6/SR15/Chapter-1
Q24,Mitigation Pathways Compatible with 1.5°C in the Context of Sustainable Development,IPCC:AR6/SR15/Chapter-2,http://localhost:8080/wiki/IPCC:AR6/SR15/Chapter-2
Q26,Impacts of 1.5°C Global Warming on Natural and Human Systems,IPCC:AR6/SR15/Chapter-3,http://localhost:8080/wiki/IPCC:AR6/SR15/Chapter-3
Q30,Strengthening and Implementing the Global Response,IPCC:AR6/SR15/Chapter-4,http://localhost:8080/wiki/IPCC:AR6/SR15/Chapter-4
Q33,"Sustainable Development, Poverty Eradication and Reducing Inequalities",IPCC:AR6/SR15/Chapter-5,http://localhost:8080/wiki/IPCC:AR6/SR15/Chapter-5
Q38,Summary for Policymakers,IPCC:AR6/SRCCL/SPM,http://localhost:8080/wiki/IPCC:AR6/SRCCL/SPM
Q41,Technical Summary,IPCC:AR6/SRCCL/TS,http://localhost:8080/wiki/IPCC:AR6/SRCCL/TS
Q44,Framing and context,IPCC:AR6/SRCCL/Chapter-1,http://localhost:8080/wiki/IPCC:AR6/SRCCL/Chapter-1
Q45,Land–climate interactions,IPCC:AR6/SRCCL/Chapter-2,http://localhost:8080/wiki/IPCC:AR6/SRCCL/Chapter-2
Q48,Desertification,IPCC:AR6/SRCCL/Chapter-3,http://localhost:8080/wiki/IPCC:AR6/SRCCL/Chapter-3
Q50,Land degradation,IPCC:AR6/SRCCL/Chapter-4,http://localhost:8080/wiki/IPCC:AR6/SRCCL/Chapter-4
Q53,Food security,IPCC:AR6/SRCCL/Chapter-5,http://localhost:8080/wiki/IPCC:AR6/SRCCL/Chapter-5
Q54,"Interlinkages between desertification, land degradation, food security and greenhouse gas fluxes: Synergies, trade-offs and integrated response options",IPCC:AR6/SRCCL/Chapter-6,http://localhost:8080/wiki/IPCC:AR6/SRCCL/Chapter-6
