"""WIKI"" 'URL'","""SERIES"" 'OBJECT'","""BOOK"" 'OBJECT'","""CHAPTER"" 'OBJECT'","""TITLE""","""DESCRIPTION""","""SOURCE"" 'URL'","""PDF"" 'URL'","""DOI"" 'String'","""OPENALEX"" 'String'","""TAGLIST"" 'String'","""LICENSE"" 'String'","""DATE"" 'String'"
,2,0,0,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability","Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_FullReport.pdf,10.1017/9781009325844,W4382362038,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Summary-for-policymakers,2,0,1,Summary for Policymakers,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/summary-for-policymakers/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_SummaryForPolicymakers.pdf,10.1017/9781009325844.001,W4382363608,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Technical-summary,2,0,2,Technical Summary,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/technical-summary/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_TechnicalSummary.pdf,10.1017/9781009325844.002,W4382363579,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
,2,1,10,Chapters,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",,,,,,,
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Chapter-1,2,1,11,Point of Departure and Key Concepts,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-1/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter01.pdf,10.1017/9781009325844.003,W4382362865,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Chapter-2,2,1,12,Terrestrial and Freshwater Ecosystems and Their Services,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-2/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter02.pdf,10.1017/9781009325844.004,W4382363505,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Chapter-3,2,1,13,Oceans and Coastal Ecosystems and Their Services,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-3/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter03.pdf,10.1017/9781009325844.005,W4382363666,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Chapter-4,2,1,14,Water,"Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-4/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter04.pdf,10.1017/9781009325844.006,W4382363526,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Chapter-5,2,1,15,"Food, Fibre and Other Ecosystem Products","Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-5/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter05.pdf,10.1017/9781009325844.007,W4382363604,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
https://test.kewl.org/wiki/IPCC:Wg2:Chapter:Chapter-6,2,1,16,"Cities, Settlements and Key Infrastructure","Working Group II: Climate Change 2022 – Impacts, Adaptation and Vulnerability",https://www.ipcc.ch/report/ar6/wg2/chapter/chapter-6/,https://www.ipcc.ch/report/ar6/wg2/downloads/report/IPCC_AR6_WGII_Chapter06.pdf,10.1017/9781009325844.008,W4382363503,Climate change; Global warming; Climate,CC-BY-NC-ND 4.0,2023-06-22
