qid,term,series
Q8,Social Sciences,
Q9,No poverty,
Q11,Confidence,
Q12,Global warming,
Q13,Pathways,
Q15,Technical potential,
Q16,Global warming potential,
Q19,Climate response,
Q20,Impacts,
Q22,Mitigation pathways,
Q23,Mitigation,
Q25,Climate model,
Q27,Adaptation,
Q28,Climate governance,
Q29,Climate system,
Q31,Sustainable development,
Q32,Climate justice,
Q34,Physical Sciences,
Q36,Land,
Q37,Land management,
Q39,Land-use change,
Q40,Land-cover change,
Q43,Land use,
Q46,Desertification,
Q47,Land degradation,
Q49,Forest degradation,
Q51,Food security,
Q52,Food system,
Q56,Climate action,
Q58,Ocean,
Q59,Sea level rise,
Q63,Cryosphere,
Q65,Glacier,
Q66,Permafrost,
Q68,Sea ice,
Q70,Sea level change,
Q73,Climate extreme,
Q78,Anthropogenic emissions,
Q82,Climate information,
Q84,Climate variability,
Q86,Models,
Q89,Ocean carbon cycle,
Q91,Ozone,
Q92,Aerosol,
Q94,Climate feedback,
Q97,Ice sheet,
Q99,Regional climate model,
Q102,Climate services,
Q105,Life Sciences,
Q108,Risk,
Q113,Ocean acidification,
Q115,Water security,
Q118,Urban,
Q119,Cities,
Q121,Health,
Q122,Mental health,
Q124,Vulnerability,
Q134,Climate finance,
Q138,Biodiversity,
Q139,Biodiversity hotspots,
Q144,Mountains,
Q147,Forest,
Q148,Sustainable forest management,
Q155,Consumption-based emissions,
Q156,Cumulative emissions,
Q159,Development pathways,
Q161,Energy services,
Q162,Energy efficiency,
Q163,Demand,
Q165,Wind energy,
Q166,Energy system,
Q167,Solar energy,
Q169,Mitigation potential,
Q171,Urban Systems,
Q173,Renewable energy,
Q175,Emissions scenario,
Q177,Direct emissions,
Q180,Policies,
Q182,Agreement,
Q185,Systems of Innovation,
Q187,Transition,
Q256,Access,Q106
Q257,Access to modern energy services,Q150
Q258,Acclimatisation,Q106
Q259,Accumulation,Q77; Q106
Q260,Active layer,Q77
Q261,Acute food insecurity,Q106
Q262,Adaptation,Q77; Q106; Q150
Q263,Adaptation Fund,Q106
Q264,Adaptation behaviour,Q106
Q265,Adaptation deficit,Q106
Q266,Adaptation gap,Q106
Q267,Adaptation limits,Q106; Q150
Q268,Adaptation needs,Q106
Q269,Adaptation opportunity,
Q270,Adaptation options,Q77; Q106; Q150
Q271,Adaptation pathways,Q106; Q150
Q272,Adaptive capacity,Q77; Q106; Q150
Q273,Adaptive governance,Q106; Q150
Q274,Adaptive management,Q106
Q275,Added value,Q77
Q276,Additionality,Q150
Q277,Adjustments,Q77
Q278,Advection,Q77
Q279,Adverse side-effect,Q106; Q150
Q280,Aerosol,Q77; Q106; Q150
Q281,Aerosol–cloud interaction,Q77
Q282,Aerosol effective radiative forcing,Q77
Q283,Aerosol optical depth,Q77
Q284,Aerosol–radiation interaction,Q77
Q285,Afforestation,Q77; Q106; Q150
Q286,Agreement,Q77; Q106; Q150
Q287,Agricultural and ecological drought,Q77; Q106
Q288,"Agriculture, Forestry and Other Land Use",Q150
Q289,Agroecology,Q106; Q150
Q290,Agroforestry,Q106
Q291,Air mass,Q77
Q292,Air pollution,Q77; Q106; Q150
Q293,Airborne fraction,Q77
Q294,Albedo,Q77; Q106; Q150
Q295,Alkalinity,Q77
Q296,Altimetry,Q77
Q297,Annular modes,Q77
Q298,Anomaly,Q77; Q106; Q150
