"Report","Acronym","Description"
"SR1.5","μatm","Microatmospheres"
"SR1.5","1.5DS","1.5 Degree Scenario"
"SR1.5","2DS","2 Degree Scenario"
"SR1.5; WGI","ACCESS","Australian Community Climate and Earth-System Simulator; Australian Community Climate and Earth System Simulator"
"SR1.5; WGI","ACCMIP","Atmospheric Chemistry and Climate Model Intercomparison Project"
"SR1.5","ACCRN","The Asian Cities Climate Change Resilience Network"
"SR1.5","ACOLA","Australian Council of Learned Academies"
"SR1.5","ACs","Air Conditioners"
"SR1.5; SRCCL; WGII","ADB","Asian Development Bank"
"SR1.5","ADVANCE","Advanced Model Development and Validation for the Improved Analysis of Costs and Impacts of Mitigation Policies"
"SR1.5","AEZ","Agro-Ecological Zone"
"SR1.5; WGII","AfDB","African Development Bank"
"SR1.5; SRCCL; SYR; WGI; WGII; WGIII","AFOLU","Agriculture, Forestry and Other Land-Use; Agriculture, Forestry and Other Land Use; agriculture, forestry and other land use"
"SR1.5; WGI","AGCM","Atmospheric General Circulation Model; atmospheric global climate model"
"SR1.5; SRCCL; WGII; WGIII","AI","Artificial Intelligence; Aridity Index; artificial intelligence"
"SR1.5","AIM","Asia-Pacific Integrated Model"
"SR1.5","ALA","Alaska/Northwest Canada"
"SR1.5","AMAP","Arctic Monitoring and Assessment Programme"
"SR1.5; SROCC; WGI; WGII","AMOC","Atlantic Meridional Overturning Circulation"
"SR1.5","AMP","Adjusting Mitigation Pathway"
"SR1.5","AMZ","Amazon"
"SR1.5","ANT","Antarctica"
"SR1.5","APEX","Air Pollutants Exposure Model"
"SR1.5; SRCCL; WGI; WGII","AR","Afforestation and Reforestation; atmospheric river; Atmospheric River / Assessment Report"
"SR1.5; SROCC; WGI; WGII; WGIII","AR4","IPCC Fourth Assessment Report; IPCC 4th Assessment Report; Fourth Assessment Report of the Intergovernmental Panel on Climate Change"
"SR1.5; SRCCL; SROCC; SYR; WGI; WGII; WGIII","AR5","IPCC Fifth Assessment Report; Fifth Assessment Report; IPCC 5th Assessment Report; Fifth Assessment Report of the Intergovernmental Panel on Climate Change"
"SR1.5; SROCC; SYR; WGI; WGII; WGIII","AR6","IPCC Sixth Assessment Report; IPCC 6th Assessment Report; Sixth Assessment Report; Sixth Assessment Report of the Intergovernmental Panel on Climate Change"
"SR1.5; SRCCL; WGIII","ARC","Arctic; Africa Risk Capacity; African Risk Capacity"
"SR1.5; WGII","ASEAN","Association of Southeast Asian Nations"
"SR1.5","ASIA","Non-OECD Asia"
"SR1.5","AUD","Australian Dollar"
"SR1.5","B2DS","Beyond 2 Degrees Scenario"
"SR1.5; WGIII","BASIC","Brazil, South Africa, India, China; Brazil, South Africa, India and China"
"SR1.5; SRCCL; SROCC; WGI; WGII; WGIII","BC","Black Carbon; Biochar / Black Carbon; black carbon; British Columbia"
"SR1.5","BCC-CSM","Beijing Climate Center Climate System Model"
"SR1.5","BCM","Bergen Climate Model"
"SR1.5; SRCCL; SROCC; SYR; WGI; WGII; WGIII","BECCS","Bioenergy with Carbon dioxide Capture and Storage; Bioenergy with Carbon Capture and Storage; Bioenergy with Carbon Dioxide Capture and Storage; bioenergy with carbon capture and storage"
"SR1.5","BET","Basic Energy systems, Economy, Environment, and End-use Technology Model"
"SR1.5; WGIII","BEV","Battery Electric Vehicle; battery electric vehicle"
"SR1.5","BNEF","Bloomberg New Energy Finance"
"SR1.5","BNU","Beijing Normal University"
"SR1.5; WGIII","BRT","Bus Rapid Transit; bus rapid transport"
"SR1.5; SRCCL","cm","Centimetres; Cultured Meat"
"SR1.5; SRCCL","C","Carbon"
"SR1.5; SRCCL; WGII; WGIII","CA","Conservation Agriculture; capability approach"
"SR1.5; WGI","CAF","Corporacion Andina de Fomento (Development Bank of Latin America); Central Africa"
"SR1.5; WGI; WGII","CAM","Central America/Mexico or Community Atmosphere Model; Central America; Crassulacean Acid Metabolism"
"SR1.5","CAMx","Comprehensive Air Quality Model with Extensions"
"SR1.5","CanESM","Canadian Earth System Model"
"SR1.5","CanRCM","Canadian Regional Climate Model"
"SR1.5; WGI; WGIII","CAR","Small Islands Regions Caribbean; Caribbean; Climate Action Reserve"
"SR1.5","CAS","Central Asia"
"SR1.5","Cat-HM","Catchment-scale Hydrological Models"
"SR1.5; SRCCL; SROCC; WGII; WGIII","CbA","Community-based Adaptation; Cost-Benefit Analysis; Community-based Adaptation/Cost Benefit Analysis; Community-Based Adaptation / Commonwealth Bank of Australia; cost-benefit analysis"
"SR1.5; SRCCL; SROCC; WGII; WGIII","CBD","Convention on Biological Diversity; United Nations Convention on Biodiversity"
"SR1.5","CBDR-RC","Common But Differentiated Responsibilities and Respective Capabilities"
"SR1.5","CBS & GNH","Centre for Bhutan Studies and Gross National Happiness Research"
"SR1.5; SRCCL","CC","Carbon Capture"
"SR1.5","CCAM","Conformal Cubic Atmospheric Model"
"SR1.5; WGII","CCC","Constant Composition Commitment; Climate Change Committee"
"SR1.5","CCCma","Canadian Centre for Climate Modelling and Analysis"
"SR1.5; SRCCL; WGII; WGIII","CCRIF","Caribbean Catastrophe Risk Insurance Facility"
"SR1.5; SRCCL; SYR; WGI; WGII; WGIII","CCS","Carbon dioxide Capture and Storage; Carbon dioxide Capture and Storage / Carbon Capture and Storage; Carbon Capture and Storage; carbon dioxide capture and storage; carbon capture and storage"
"SR1.5","CCSM","Community Climate System Model"
"SR1.5; WGI; WGII; WGIII","CCT","Cirrus Cloud Thinning; cirrus cloud thinning"
"SR1.5; SRCCL; SYR; WGII; WGIII","CCU","Carbon dioxide Capture and Utilisation; Carbon Capture and Usage; Carbon Capture and Utilization; Carbon Dioxide Capture and Utilisation; carbon capture and utilisation"
"SR1.5; WGIII","CCUS","Carbon dioxide Capture, Utilisation and Storage; carbon capture, use and storage"
"SR1.5; WGI; WGII; WGIII","CDD","Consecutive Dry Days; consecutive dry days; cooling degree-days"
"SR1.5","CD-LINKS","Linking Climate and Development Policies – Leveraging International Networks and Knowledge Sharing"
