ClimateKG_Author_ID,Last_Name,First_Name,Gender,Citizenship,Country_of_Residence,Affiliation,Report,Chapter,Chapter_QID,Role,Source_URL,Date_Accessed
AU0024,Aldunce,Paulina,F,Chile,Chile,University of Chile,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0086,Blanco,Gabriel,M,Argentina,Argentina,"Universidad Nacional del Centro (UNICEN), Argentina",SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0109,Calvin,Katherine,F,USA,USA,University of Maryland,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0142,Cheung,William (wai Lung),M,Canada,Canada,"Institute for the Oceans and Fisheries, The University of British Columbia",SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0182,Dasgupta,Dipak,M,India,India,THE ENERGY AND RESOURCES INSTITUTE (TERI),SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0195,Denton,Fatima,F,Gambia,Ghana,,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0212,Diongue-Niang,Aïda,F,Senegal,Senegal,Agence Nationale de l'Aviation Civile et de la Météorologie du Sénégal -ANACIM,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0216,Dodman,David,M,Jamaica,Netherlands,Institute for Housing and Urban Development Studies,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0284,Garschagen,Matthias,M,Germany,Germany,Ludwig-Maximilians-University Munich,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0286,Geden,Oliver,M,Germany,Germany,WGIII Vice-Chair,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0343,Hayward,Bronwyn,F,New Zealand,New Zealand,University of Canterbury,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0407,Jones,Christopher,M,UK,UK,Met Office Hadley Centre,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0409,Jotzo,Frank,M,Australia,Australia,Australian National University,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0462,Krinner,Gerhard,M,France,France,CNRS,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0477,Lasco,Rodel,M,Philippines,Philippines,NATIONAL PANEL OF TECHNICAL EXPERTS - CLIMATE CHANGE COMMISSION,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0485,Lee,June-yi,F,Republic of Korea,Republic of Korea,Pusan National University and Institute for Basic Science Center for Climate Physics,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0557,Meinshausen,Malte,M,Germany,Australia,The University of Melbourne,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0594,Mukherji,Aditi,F,India,Kenya,CGIAR,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0649,Otto,Friederike,F,UK,UK,Imperial College London,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0704,Revi,Aromar,M,India,India,Indian Institute for Human Settlements,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0727,Roy,Joyashree,F,India,India,"Asian Institute of Technology Thailand, Jadavpur University, India",SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0728,Ruane,Alexander,M,USA,USA,NASA Goddard Institute for Space Studies,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0776,Slangen,Aimée,F,Netherlands,Netherlands,NIOZ Royal Netherlands Institute for Sea Research,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0818,Sörensson,Anna Amelia,F,Argentina,Argentina,"Center for Ocean and Atmosphere Sciences (CIMA / CONICET-UBA), Franco-Argentinian Institute for the Study of Climate and its Impacts (UMI-IFAECI/CNRS-CONICET-UBA)",SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0836,Thorne,Peter,M,Ireland,Ireland,Maynooth University,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0848,Trisos,Christopher,M,South Africa,South Africa,University of Cape Town,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0861,Van Vuuren,Detlef,M,Netherlands,Netherlands,PBL Netherlands Environmental Assessment Agency,SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0884,Wei,Yi-ming,M,China,China,"Center for Energy and Environmental Policy Research, Beijing Institute of Technology",SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0894,Winkler,Harald,M,South Africa,South Africa,"Energy Research Centre, University of Cape Town",SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0929,Zommers,Zinta,F,Latvia,USA,United Nations Office for the Coordination of Humanitarian Affairs (UNOCHA),SYR,SPM,Q190,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0024,Aldunce,Paulina,F,Chile,Chile,University of Chile,SYR,LR,Q192,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0086,Blanco,Gabriel,M,Argentina,Argentina,"Universidad Nacional del Centro (UNICEN), Argentina",SYR,LR,Q192,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0109,Calvin,Katherine,F,USA,USA,University of Maryland,SYR,LR,Q192,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0142,Cheung,William (wai Lung),M,Canada,Canada,"Institute for the Oceans and Fisheries, The University of British Columbia",SYR,LR,Q192,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0182,Dasgupta,Dipak,M,India,India,THE ENERGY AND RESOURCES INSTITUTE (TERI),SYR,LR,Q192,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0195,Denton,Fatima,F,Gambia,Ghana,,SYR,LR,Q192,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0212,Diongue-Niang,Aïda,F,Senegal,Senegal,Agence Nationale de l'Aviation Civile et de la Météorologie du Sénégal -ANACIM,SYR,LR,Q192,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0216,Dodman,David,M,Jamaica,Netherlands,Institute for Housing and Urban Development Studies,SYR,LR,Q192,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0284,Garschagen,Matthias,M,Germany,Germany,Ludwig-Maximilians-University Munich,SYR,LR,Q192,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0286,Geden,Oliver,M,Germany,Germany,WGIII Vice-Chair,SYR,LR,Q192,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0343,Hayward,Bronwyn,F,New Zealand,New Zealand,University of Canterbury,SYR,LR,Q192,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0407,Jones,Christopher,M,UK,UK,Met Office Hadley Centre,SYR,LR,Q192,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0409,Jotzo,Frank,M,Australia,Australia,Australian National University,SYR,LR,Q192,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
AU0462,Krinner,Gerhard,M,France,France,CNRS,SYR,LR,Q192,Core Writing Team,https://apps.ipcc.ch/report/authors/,18 March 2026
